municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Pedras de Fogo;201139;;062025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;150.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Pedras de Fogo;201139;;062025;2025;24215001;Transferências de Recursos do Sistema Único de Saúde – SUS - Principal;Lançamento de Receita;450.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
Pedras de Fogo;201139;;122025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;139.680;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Pedras de Fogo;201139;;112025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;325.920;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Pedras de Fogo;201139;;072025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;5.745.785,2;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Pedras de Fogo;201139;;062025;2025;24149901;Outras Transferências de Convênios da União e de Suas Entidades - Principal;Lançamento de Receita;1.914.367,6;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
Pedras de Fogo;201139;;072025;2025;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Outras Deduções;-29.865,2;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Pedras de Fogo;201139;;122025;2025;24125091;Outras transferências destinadas a Programas de Educação - Principal;Lançamento de Receita;189.220,34;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
Pedras de Fogo;201139;;092025;2025;24125091;Outras transferências destinadas a Programas de Educação - Principal;Lançamento de Receita;1.592.937,43;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
Pedras de Fogo;201139;;082025;2025;24125091;Outras transferências destinadas a Programas de Educação - Principal;Lançamento de Receita;187.404,41;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
