municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
Cabedelo;201040;Prefeitura Municipal de Cabedelo;042026;2026;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;400.099,77;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;032026;2026;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;111.752,27;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;022026;2026;24145101;Transferências de Convênios da União destinadas a Programas de Educação - Principal;Lançamento de Receita;177.393,62;570;Transferências do Governo Federal referentes a Convênios e outros Repasses vinculados à Educação;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;052026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;18.430,59;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;042026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;198.415,61;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;032026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;165.390,42;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;022026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;161.185,8;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;012026;2026;19999931;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Financeiras - Principal;Lançamento de Receita;169.915,92;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;052026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;294.291,85;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
Cabedelo;201040;Prefeitura Municipal de Cabedelo;042026;2026;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;691.819,95;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
