codigo_municipio,nome_municipio,uf,ano,forma_declaracao_idade,sexo,faixa_etaria,populacao
,Bayeux,PB,2022,Total,Total,49 anos,1189.0
,Bayeux,PB,2022,Total,Total,50 anos,1186.0
,Bayeux,PB,2022,Total,Total,51 anos,1186.0
,Bayeux,PB,2022,Total,Total,52 anos,1180.0
,Bayeux,PB,2022,Total,Total,53 anos,1162.0
,Bayeux,PB,2022,Total,Total,54 anos,1083.0
,Bayeux,PB,2022,Total,Total,55 anos,1049.0
,Bayeux,PB,2022,Total,Total,56 anos,1037.0
,Bayeux,PB,2022,Total,Total,57 anos,985.0
,Bayeux,PB,2022,Total,Total,58 anos,960.0
,Bayeux,PB,2022,Total,Total,59 anos,836.0
,Bayeux,PB,2022,Total,Total,60 anos,823.0
,Bayeux,PB,2022,Total,Total,61 anos,724.0
,Bayeux,PB,2022,Total,Total,62 anos,740.0
,Bayeux,PB,2022,Total,Total,63 anos,660.0
,Bayeux,PB,2022,Total,Total,64 anos,604.0
,Bayeux,PB,2022,Total,Total,65 anos,548.0
,Bayeux,PB,2022,Total,Total,66 anos,561.0
,Bayeux,PB,2022,Total,Total,67 anos,528.0
,Bayeux,PB,2022,Total,Total,68 anos,536.0
,Bayeux,PB,2022,Total,Total,69 anos,450.0
,Bayeux,PB,2022,Total,Total,70 anos,447.0
,Bayeux,PB,2022,Total,Total,71 anos,442.0
,Bayeux,PB,2022,Total,Total,72 anos,471.0
,Bayeux,PB,2022,Total,Total,73 anos,374.0
,Bayeux,PB,2022,Total,Total,74 anos,420.0
,Bayeux,PB,2022,Total,Total,75 anos,325.0
,Bayeux,PB,2022,Total,Total,76 anos,288.0
,Bayeux,PB,2022,Total,Total,77 anos,287.0
,Bayeux,PB,2022,Total,Total,78 anos,259.0
,Bayeux,PB,2022,Total,Total,79 anos,233.0
,Bayeux,PB,2022,Total,Total,80 anos,226.0
,Bayeux,PB,2022,Total,Total,81 anos,184.0
,Bayeux,PB,2022,Total,Total,82 anos,213.0
,Bayeux,PB,2022,Total,Total,83 anos,160.0
,Bayeux,PB,2022,Total,Total,84 anos,139.0
,Bayeux,PB,2022,Total,Total,85 anos,119.0
,Bayeux,PB,2022,Total,Total,86 anos,102.0
,Bayeux,PB,2022,Total,Total,87 anos,86.0
,Bayeux,PB,2022,Total,Total,88 anos,59.0
,Bayeux,PB,2022,Total,Total,89 anos,51.0
,Bayeux,PB,2022,Total,Total,90 anos,51.0
,Bayeux,PB,2022,Total,Total,91 anos,37.0
,Bayeux,PB,2022,Total,Total,92 anos,34.0
,Bayeux,PB,2022,Total,Total,93 anos,24.0
,Bayeux,PB,2022,Total,Total,94 anos,20.0
,Bayeux,PB,2022,Total,Total,95 anos,15.0
,Bayeux,PB,2022,Total,Total,96 anos,15.0
,Bayeux,PB,2022,Total,Total,97 anos,11.0
,Bayeux,PB,2022,Total,Total,98 anos,6.0
,Bayeux,PB,2022,Total,Total,99 anos,5.0
,Bayeux,PB,2022,Total,Total,100 anos ou mais,10.0
,Caaporã,PB,2022,Total,Total,18 anos,347.0
,Caaporã,PB,2022,Total,Total,19 anos,312.0
,Caaporã,PB,2022,Total,Total,20 anos,364.0
,Caaporã,PB,2022,Total,Total,21 anos,326.0
,Caaporã,PB,2022,Total,Total,22 anos,366.0
,Caaporã,PB,2022,Total,Total,23 anos,336.0
,Caaporã,PB,2022,Total,Total,24 anos,326.0
,Caaporã,PB,2022,Total,Total,25 anos,339.0
,Caaporã,PB,2022,Total,Total,26 anos,284.0
,Caaporã,PB,2022,Total,Total,27 anos,365.0
,Caaporã,PB,2022,Total,Total,28 anos,271.0
,Caaporã,PB,2022,Total,Total,29 anos,332.0
,Caaporã,PB,2022,Total,Total,30 anos,325.0
,Caaporã,PB,2022,Total,Total,31 anos,297.0
,Caaporã,PB,2022,Total,Total,32 anos,301.0
,Caaporã,PB,2022,Total,Total,33 anos,325.0
,Caaporã,PB,2022,Total,Total,34 anos,294.0
